CITY,STATE_CODE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,LATITUDE,LONGITUDE,WINTER,SPRING,SUMMER,FALL
Boise,ID,32.0,49.0,66.0,68.0,74.0,76.0,85.0,82.0,80.0,69.0,41.0,34.0,63.0,43.6136,-116.2025,38.333333333333336,69.33333333333333,81.0,63.333333333333336
Pocatello,ID,38.0,55.0,63.0,64.0,68.0,74.0,82.0,80.0,78.0,68.0,43.0,36.0,62.0,42.887592,-112.438142,43.0,65.0,78.66666666666667,63.0
Chicago,IL,41.0,42.0,53.0,53.0,58.0,66.0,68.0,61.0,61.0,56.0,35.0,35.0,52.0,41.885847,-87.618123,39.333333333333336,54.666666666666664,65.0,50.666666666666664
Moline,IL,48.0,53.0,49.0,51.0,54.0,62.0,65.0,63.0,60.0,56.0,40.0,38.0,53.0,41.490609,-90.497968,46.333333333333336,51.333333333333336,63.333333333333336,52.0
Peoria,IL,47.0,53.0,52.0,53.0,57.0,66.0,67.0,63.0,61.0,58.0,41.0,38.0,54.0,40.6854,-89.5953,46.0,54.0,65.33333333333333,53.333333333333336
Springfield,IL,50.0,53.0,51.0,54.0,61.0,68.0,71.0,67.0,66.0,61.0,45.0,40.0,57.0,39.80004,-89.64953100000001,47.666666666666664,55.333333333333336,68.66666666666667,57.333333333333336
Evansville,IN,46.0,50.0,56.0,57.0,63.0,72.0,72.0,71.0,65.0,63.0,46.0,42.0,58.0,37.9746,-87.5674,46.0,58.666666666666664,71.66666666666667,58.0
Fort Wayne,IN,50.0,55.0,57.0,63.0,69.0,74.0,76.0,75.0,67.0,60.0,40.0,36.0,60.0,41.0716,-85.1367,47.0,63.0,75.0,55.666666666666664
Indianapolis,IN,42.0,49.0,48.0,51.0,58.0,63.0,65.0,64.0,61.0,54.0,36.0,32.0,51.0,39.938417,-86.13894,41.0,52.333333333333336,64.0,50.333333333333336
Des Moines,IA,50.0,54.0,55.0,55.0,61.0,69.0,74.0,70.0,66.0,59.0,45.0,43.0,58.0,41.6005,-93.6088,49.0,57.0,71.0,56.666666666666664
Sioux City,IA,57.0,57.0,59.0,59.0,62.0,70.0,73.0,70.0,65.0,60.0,48.0,48.0,60.0,42.497223,-96.40292,54.0,60.0,71.0,57.666666666666664
Concordia,KS,62.0,63.0,63.0,66.0,70.0,78.0,80.0,78.0,72.0,69.0,59.0,58.0,68.0,39.559427,-97.662735,61.0,66.33333333333333,78.66666666666667,66.66666666666667
Dodge City,KS,65.0,67.0,64.0,66.0,68.0,77.0,80.0,76.0,72.0,71.0,63.0,63.0,69.0,37.756882,-100.024074,65.0,66.0,77.66666666666667,68.66666666666667
Topeka,KS,55.0,56.0,56.0,56.0,60.0,64.0,72.0,68.0,62.0,60.0,50.0,50.0,59.0,39.0541,-95.6719,53.666666666666664,57.333333333333336,68.0,57.333333333333336
Wichita,KS,59.0,63.0,61.0,64.0,66.0,70.0,76.0,74.0,66.0,66.0,57.0,56.0,64.0,37.6898,-97.3415,59.333333333333336,63.666666666666664,73.33333333333333,63.0
Louisville,KY,46.0,51.0,50.0,55.0,59.0,64.0,66.0,65.0,62.0,60.0,44.0,41.0,55.0,38.2435,-85.7639,46.0,54.666666666666664,65.0,55.333333333333336
Paducah,KY,58.0,52.0,60.0,65.0,60.0,73.0,77.0,81.0,72.0,71.0,58.0,52.0,64.0,37.063377,-88.66320400000001,54.0,61.666666666666664,77.0,67.0
Lake Charles,LA,46.0,48.0,65.0,65.0,77.0,80.0,81.0,83.0,83.0,77.0,55.0,49.0,67.0,30.228453000000002,-93.187966,47.666666666666664,69.0,81.33333333333333,71.66666666666667
New Orleans,LA,48.0,52.0,56.0,62.0,59.0,67.0,61.0,59.0,61.0,70.0,57.0,54.0,58.0,29.963071000000003,-90.160953,51.333333333333336,59.0,62.333333333333336,62.666666666666664
Shreveport,LA,45.0,54.0,53.0,54.0,58.0,68.0,70.0,69.0,64.0,64.0,57.0,51.0,58.0,32.503743,-93.748696,50.0,55.0,69.0,61.666666666666664
Portland,ME,57.0,58.0,53.0,55.0,53.0,55.0,62.0,63.0,60.0,58.0,47.0,49.0,55.0,43.660564,-70.258864,54.666666666666664,53.666666666666664,60.0,55.0
Baltimore,MD,50.0,58.0,55.0,57.0,55.0,60.0,63.0,61.0,57.0,56.0,50.0,47.0,55.0,39.17185,-76.648287,51.666666666666664,55.666666666666664,61.333333333333336,54.333333333333336
Boston,MA,56.0,56.0,56.0,59.0,60.0,64.0,68.0,66.0,64.0,60.0,48.0,49.0,58.0,42.357603000000005,-71.068432,53.666666666666664,58.333333333333336,66.0,57.333333333333336
Alpena,MI,36.0,43.0,51.0,55.0,59.0,62.0,66.0,60.0,52.0,41.0,28.0,25.0,48.0,45.079018,-83.4602,34.666666666666664,55.0,62.666666666666664,40.333333333333336
Detroit,MI,39.0,47.0,50.0,55.0,60.0,65.0,69.0,68.0,61.0,50.0,35.0,31.0,52.0,42.347429,-83.06039799999999,39.0,55.0,67.33333333333333,48.666666666666664
Grand Rapids,MI,30.0,38.0,45.0,51.0,56.0,61.0,65.0,62.0,57.0,44.0,29.0,22.0,46.0,42.9704,-85.6738,30.0,50.666666666666664,62.666666666666664,43.333333333333336
Lansing,MI,40.0,47.0,49.0,53.0,60.0,64.0,69.0,66.0,58.0,47.0,29.0,29.0,50.0,42.7335,-84.6391,38.666666666666664,54.0,66.33333333333333,44.666666666666664
Duluth,MN,48.0,51.0,51.0,55.0,56.0,55.0,64.0,60.0,52.0,42.0,33.0,36.0,50.0,47.094431,-91.846731,45.0,54.0,59.666666666666664,42.333333333333336
Jackson,MS,47.0,55.0,59.0,62.0,62.0,70.0,65.0,64.0,60.0,67.0,55.0,49.0,59.0,32.293502000000004,-90.186655,50.333333333333336,61.0,66.33333333333333,60.666666666666664
Columbia,MO,51.0,50.0,51.0,55.0,59.0,67.0,70.0,66.0,62.0,60.0,49.0,44.0,57.0,38.938176,-92.304865,48.333333333333336,55.0,67.66666666666667,57.0
Kansas City,MO,58.0,56.0,62.0,66.0,65.0,70.0,74.0,67.0,66.0,62.0,48.0,52.0,62.0,39.163189,-94.56988199999999,55.333333333333336,64.33333333333333,70.33333333333333,58.666666666666664
Springfield,MO,51.0,51.0,56.0,59.0,61.0,65.0,72.0,69.0,64.0,62.0,48.0,47.0,58.0,37.2152,-93.295,49.666666666666664,58.666666666666664,68.66666666666667,58.0
Billings,MT,42.0,54.0,65.0,62.0,60.0,62.0,74.0,74.0,68.0,57.0,44.0,38.0,58.0,45.774489,-108.500452,44.666666666666664,62.333333333333336,70.0,56.333333333333336
Great Falls,MT,42.0,49.0,64.0,59.0,62.0,65.0,79.0,76.0,69.0,57.0,44.0,37.0,58.0,47.509812,-111.273397,42.666666666666664,61.666666666666664,73.33333333333333,56.666666666666664
Havre,MT,48.0,60.0,71.0,72.0,75.0,78.0,86.0,83.0,76.0,63.0,48.0,44.0,67.0,48.556121000000005,-109.687974,50.666666666666664,72.66666666666667,82.33333333333333,62.333333333333336
Helena,MT,40.0,51.0,61.0,59.0,59.0,62.0,77.0,73.0,68.0,58.0,42.0,35.0,57.0,46.613065999999996,-112.02128300000001,42.0,59.666666666666664,70.66666666666667,56.0
Missoula,MT,30.0,43.0,55.0,56.0,58.0,60.0,80.0,78.0,69.0,57.0,37.0,30.0,54.0,46.856274,-114.02520700000001,34.333333333333336,56.333333333333336,72.66666666666667,54.333333333333336
